Özel - Cinsellik ve Mahremiyet
==============================
- dudaktan optu | Kelime / ifade | Risk 4 | Aktif
- cinayet | Kelime / ifade | Risk 3 | Aktif
- cinayete | Kelime / ifade | Risk 3 | Aktif
- cinayeti | Kelime / ifade | Risk 3 | Aktif
- cinayetin | Kelime / ifade | Risk 3 | Aktif
- cinayetten | Kelime / ifade | Risk 3 | Aktif
- çalıyor | Kelime / ifade | Risk 3 | Aktif
- çalma | Kelime / ifade | Risk 3 | Aktif
- çalma ifadesi | Kelime / ifade | Risk 3 | Aktif
- çalmak | Kelime / ifade | Risk 3 | Aktif
- dolandırıcı | Kelime / ifade | Risk 3 | Aktif
- dolandırıcılık | Kelime / ifade | Risk 3 | Aktif
- dolandırma | Kelime / ifade | Risk 3 | Aktif
- dolandırma ifadesi | Kelime / ifade | Risk 3 | Aktif
- dövdü | Kelime / ifade | Risk 3 | Aktif
- döver | Kelime / ifade | Risk 3 | Aktif
- dövme ifadesi | Kelime / ifade | Risk 3 | Aktif
- dövme sahnesi | Kelime / ifade | Risk 3 | Aktif
- dövmek | Kelime / ifade | Risk 3 | Aktif
- dövüş | Kelime / ifade | Risk 3 | Aktif
- dövüş sahnesi | Kelime / ifade | Risk 3 | Aktif
- dövüşlü | Kelime / ifade | Risk 3 | Aktif
- dövüşmek | Kelime / ifade | Risk 3 | Aktif
- dövüştü | Kelime / ifade | Risk 3 | Aktif
- hançer | Kelime / ifade | Risk 3 | Aktif
- hırsızlık | Kelime / ifade | Risk 3 | Aktif
- hırsızlık yapmak | Kelime / ifade | Risk 3 | Aktif
- infaz | Kelime / ifade | Risk 3 | Aktif
- işkence | Kelime / ifade | Risk 3 | Aktif
- kama | Kelime / ifade | Risk 3 | Aktif
- kan | Kelime / ifade | Risk 3 | Aktif
- kan dokenler | Kelime / ifade | Risk 3 | Aktif
- kan dök | Kelime / ifade | Risk 3 | Aktif
- kan dökmek | Kelime / ifade | Risk 3 | Aktif
- kan saçma | Kelime / ifade | Risk 3 | Aktif
- katil | Kelime / ifade | Risk 3 | Aktif
- katilden | Kelime / ifade | Risk 3 | Aktif
- katile | Kelime / ifade | Risk 3 | Aktif
- katiler | Kelime / ifade | Risk 3 | Aktif
- katili | Kelime / ifade | Risk 3 | Aktif
- katillerin | Kelime / ifade | Risk 3 | Aktif
- katliam | Kelime / ifade | Risk 3 | Aktif
- katliam | Kelime / ifade | Risk 3 | Aktif
- kavga | Kelime / ifade | Risk 3 | Aktif
- kavga etmek | Kelime / ifade | Risk 3 | Aktif
- kavga etti | Kelime / ifade | Risk 3 | Aktif
- kavga sahnesi | Kelime / ifade | Risk 3 | Aktif
- kavgalı | Kelime / ifade | Risk 3 | Aktif
- kavgalı dövüşlü | Kelime / ifade | Risk 3 | Aktif
- keser | Kelime / ifade | Risk 3 | Aktif
- kılıç | Kelime / ifade | Risk 3 | Aktif
- kıtal | Kelime / ifade | Risk 3 | Aktif
- kıtalama | Kelime / ifade | Risk 3 | Aktif
- mızrak | Kelime / ifade | Risk 3 | Aktif
- öldür | Kelime / ifade | Risk 3 | Aktif
- öldürdü | Kelime / ifade | Risk 3 | Aktif
- öldürdüğü | Kelime / ifade | Risk 3 | Aktif
- öldürdükten | Kelime / ifade | Risk 3 | Aktif
- öldürme | Kelime / ifade | Risk 3 | Aktif
- öldürme anlatımı | Kelime / ifade | Risk 3 | Aktif
- öldürme göndermesi | Kelime / ifade | Risk 3 | Aktif
- öldürme ifadesi | Kelime / ifade | Risk 3 | Aktif
- öldürme sahnesi | Kelime / ifade | Risk 3 | Aktif
- öldürmek | Kelime / ifade | Risk 3 | Aktif
- öldürüş | Kelime / ifade | Risk 3 | Aktif
- öldürüyor | Kelime / ifade | Risk 3 | Aktif
- ölü | Kelime / ifade | Risk 3 | Aktif
- ölü | Kelime / ifade | Risk 3 | Aktif
- ölü anlatımı | Kelime / ifade | Risk 3 | Aktif
- ölü göndermesi | Kelime / ifade | Risk 3 | Aktif
- ölü ifadesi | Kelime / ifade | Risk 3 | Aktif
- ölü sahnesi | Kelime / ifade | Risk 3 | Aktif
- ölüde | Kelime / ifade | Risk 3 | Aktif
- ölüden | Kelime / ifade | Risk 3 | Aktif
- ölüler | Kelime / ifade | Risk 3 | Aktif
- ölüler | Kelime / ifade | Risk 3 | Aktif
- ölüm | Kelime / ifade | Risk 3 | Aktif
- ölüm | Kelime / ifade | Risk 3 | Aktif
- ölüm anlatımı | Kelime / ifade | Risk 3 | Aktif
- ölüm göndermesi | Kelime / ifade | Risk 3 | Aktif
- ölüm ifadesi | Kelime / ifade | Risk 3 | Aktif
- ölüm sahnesi | Kelime / ifade | Risk 3 | Aktif
- ölümcül | Kelime / ifade | Risk 3 | Aktif
- ölümde | Kelime / ifade | Risk 3 | Aktif
- ölümden | Kelime / ifade | Risk 3 | Aktif
- ölümlü | Kelime / ifade | Risk 3 | Aktif
- ölümü | Kelime / ifade | Risk 3 | Aktif
- ölümün | Kelime / ifade | Risk 3 | Aktif
- ölüsü | Kelime / ifade | Risk 3 | Aktif
- ölüyü | Kelime / ifade | Risk 3 | Aktif
- ölüyü | Kelime / ifade | Risk 3 | Aktif
- pistol | Kelime / ifade | Risk 3 | Aktif
- polis tabancası | Kelime / ifade | Risk 3 | Aktif
- revolver | Kelime / ifade | Risk 3 | Aktif
- savaş | Kelime / ifade | Risk 3 | Aktif
- savaş | Kelime / ifade | Risk 3 | Aktif
- savaş anlatımı | Kelime / ifade | Risk 3 | Aktif
- savaş göndermesi | Kelime / ifade | Risk 3 | Aktif
- savaş ifadesi | Kelime / ifade | Risk 3 | Aktif
- savaş sahnesi | Kelime / ifade | Risk 3 | Aktif
- savaşı | Kelime / ifade | Risk 3 | Aktif
- savaşının | Kelime / ifade | Risk 3 | Aktif
- savaşkı | Kelime / ifade | Risk 3 | Aktif
- savaşlı | Kelime / ifade | Risk 3 | Aktif
- savaşta | Kelime / ifade | Risk 3 | Aktif
- savaştan | Kelime / ifade | Risk 3 | Aktif
- silah | Kelime / ifade | Risk 3 | Aktif
- silah | Kelime / ifade | Risk 3 | Aktif
- silah anlatımı | Kelime / ifade | Risk 3 | Aktif
- silah göndermesi | Kelime / ifade | Risk 3 | Aktif
- silah ifadesi | Kelime / ifade | Risk 3 | Aktif
- silah sahnesi | Kelime / ifade | Risk 3 | Aktif
- silahı | Kelime / ifade | Risk 3 | Aktif
- silahın | Kelime / ifade | Risk 3 | Aktif
- silahından | Kelime / ifade | Risk 3 | Aktif
- silahını | Kelime / ifade | Risk 3 | Aktif
- silahla | Kelime / ifade | Risk 3 | Aktif
- silahları | Kelime / ifade | Risk 3 | Aktif
- sopa | Kelime / ifade | Risk 3 | Aktif
- sopa anlatımı | Kelime / ifade | Risk 3 | Aktif
- sopa ifadesi | Kelime / ifade | Risk 3 | Aktif
- sopa sahnesi | Kelime / ifade | Risk 3 | Aktif
- sopalarla | Kelime / ifade | Risk 3 | Aktif
- sopasını | Kelime / ifade | Risk 3 | Aktif
- sopayla | Kelime / ifade | Risk 3 | Aktif
- tomahawk | Kelime / ifade | Risk 3 | Aktif
- topuz | Kelime / ifade | Risk 3 | Aktif
- torba | Kelime / ifade | Risk 3 | Aktif
- tüfek | Kelime / ifade | Risk 3 | Aktif
- vuran | Kelime / ifade | Risk 3 | Aktif
- vurarak | Kelime / ifade | Risk 3 | Aktif
- vurdu | Kelime / ifade | Risk 3 | Aktif
- vurduğu | Kelime / ifade | Risk 3 | Aktif
- vurduk | Kelime / ifade | Risk 3 | Aktif
- vurduktan | Kelime / ifade | Risk 3 | Aktif
- vurdular | Kelime / ifade | Risk 3 | Aktif
- vurdum | Kelime / ifade | Risk 3 | Aktif
- vurdunuz | Kelime / ifade | Risk 3 | Aktif
- vurma | Kelime / ifade | Risk 3 | Aktif
- vurma anlatımı | Kelime / ifade | Risk 3 | Aktif
- vurma göndermesi | Kelime / ifade | Risk 3 | Aktif
- vurma ifadesi | Kelime / ifade | Risk 3 | Aktif
- vurma sahnesi | Kelime / ifade | Risk 3 | Aktif
- vurmak | Kelime / ifade | Risk 3 | Aktif
- vurmak | Kelime / ifade | Risk 3 | Aktif
- vurmamak | Kelime / ifade | Risk 3 | Aktif
- vurması | Kelime / ifade | Risk 3 | Aktif
- vuruş | Kelime / ifade | Risk 3 | Aktif
- vuruyor | Kelime / ifade | Risk 3 | Aktif
- yaraladı | Kelime / ifade | Risk 3 | Aktif
- yaraladığı | Kelime / ifade | Risk 3 | Aktif
- yaralama | Kelime / ifade | Risk 3 | Aktif
- yaralamak | Kelime / ifade | Risk 3 | Aktif
- yaralamak | Kelime / ifade | Risk 3 | Aktif
- yaralanıyor | Kelime / ifade | Risk 3 | Aktif
- yaralanma | Kelime / ifade | Risk 3 | Aktif
- yaralanma anlatımı | Kelime / ifade | Risk 3 | Aktif
- yaralanma göndermesi | Kelime / ifade | Risk 3 | Aktif
- yaralanma ifadesi | Kelime / ifade | Risk 3 | Aktif
- yaralanma sahnesi | Kelime / ifade | Risk 3 | Aktif

Sistem - Zararlı Alışkanlıklar
==============================
- alkol | Kelime / ifade | Risk 4 | Aktif
- alkol ifadesi | Kelime / ifade | Risk 4 | Aktif
- alkol sahnesi | Kelime / ifade | Risk 4 | Aktif
- alkole | Kelime / ifade | Risk 4 | Aktif
- alkollü | Kelime / ifade | Risk 4 | Aktif
- alkolsüz | Kelime / ifade | Risk 4 | Aktif
- ayyaş | Kelime / ifade | Risk 4 | Aktif
- ayyaş ifadesi | Kelime / ifade | Risk 4 | Aktif
- ayyaş sahnesi | Kelime / ifade | Risk 4 | Aktif
- ayyaşlık | Kelime / ifade | Risk 4 | Aktif
- bağımlılığı | Kelime / ifade | Risk 4 | Aktif
- bağımlılık | Kelime / ifade | Risk 4 | Aktif
- bağımlılık ifadesi | Kelime / ifade | Risk 4 | Aktif
- bağımlılıktan | Kelime / ifade | Risk 4 | Aktif
- bahis | Kelime / ifade | Risk 4 | Aktif
- bahis ifadesi | Kelime / ifade | Risk 4 | Aktif
- bahis sahnesi | Kelime / ifade | Risk 4 | Aktif
- bahiste | Kelime / ifade | Risk 4 | Aktif
- bahsi | Kelime / ifade | Risk 4 | Aktif
- bar | Kelime / ifade | Risk 4 | Aktif
- bar ifadesi | Kelime / ifade | Risk 4 | Aktif
- bar sahnesi | Kelime / ifade | Risk 4 | Aktif
- barda | Kelime / ifade | Risk 4 | Aktif
- barı | Kelime / ifade | Risk 4 | Aktif
- barında | Kelime / ifade | Risk 4 | Aktif
- barlar | Kelime / ifade | Risk 4 | Aktif
- bira | Kelime / ifade | Risk 4 | Aktif
- blackjack | Kelime / ifade | Risk 4 | Aktif
- blackjack ifadesi | Kelime / ifade | Risk 4 | Aktif
- blackjack sahnesi | Kelime / ifade | Risk 4 | Aktif
- casino | Kelime / ifade | Risk 4 | Aktif
- casino ifadesi | Kelime / ifade | Risk 4 | Aktif
- casino sahnesi | Kelime / ifade | Risk 4 | Aktif
- casinoda | Kelime / ifade | Risk 4 | Aktif
- casinoya | Kelime / ifade | Risk 4 | Aktif
- duman | Kelime / ifade | Risk 4 | Aktif
- duman ifadesi | Kelime / ifade | Risk 4 | Aktif
- duman sahnesi | Kelime / ifade | Risk 4 | Aktif
- eroin | Kelime / ifade | Risk 4 | Aktif
- eroin ifadesi | Kelime / ifade | Risk 4 | Aktif
- eroin sahnesi | Kelime / ifade | Risk 4 | Aktif
- eroini | Kelime / ifade | Risk 4 | Aktif
- eroinle | Kelime / ifade | Risk 4 | Aktif
- esrar | Kelime / ifade | Risk 4 | Aktif
- esrar ifadesi | Kelime / ifade | Risk 4 | Aktif
- esrar sahnesi | Kelime / ifade | Risk 4 | Aktif
- esrarı | Kelime / ifade | Risk 4 | Aktif
- içki | Kelime / ifade | Risk 4 | Aktif
- içki ifadesi | Kelime / ifade | Risk 4 | Aktif
- içki sahnesi | Kelime / ifade | Risk 4 | Aktif
- içkile | Kelime / ifade | Risk 4 | Aktif
- içkiler | Kelime / ifade | Risk 4 | Aktif
- içkiye | Kelime / ifade | Risk 4 | Aktif
- içkiyi | Kelime / ifade | Risk 4 | Aktif
- kokain | Kelime / ifade | Risk 4 | Aktif
- kokain ifadesi | Kelime / ifade | Risk 4 | Aktif
- kokain sahnesi | Kelime / ifade | Risk 4 | Aktif
- kokaini | Kelime / ifade | Risk 4 | Aktif
- kumar | Kelime / ifade | Risk 4 | Aktif
- kumar ifadesi | Kelime / ifade | Risk 4 | Aktif
- kumar sahnesi | Kelime / ifade | Risk 4 | Aktif
- kumarcı | Kelime / ifade | Risk 4 | Aktif
- kumarda | Kelime / ifade | Risk 4 | Aktif
- kumarı | Kelime / ifade | Risk 4 | Aktif
- madde bağımlılığı | Kelime / ifade | Risk 4 | Aktif
- madde kullanımı | Kelime / ifade | Risk 4 | Aktif
- maddesi | Kelime / ifade | Risk 4 | Aktif
- meyhanda | Kelime / ifade | Risk 4 | Aktif
- meyhane | Kelime / ifade | Risk 4 | Aktif
- meyhane ifadesi | Kelime / ifade | Risk 4 | Aktif
- meyhane sahnesi | Kelime / ifade | Risk 4 | Aktif
- meyhanesi | Kelime / ifade | Risk 4 | Aktif
- meyhaneyi | Kelime / ifade | Risk 4 | Aktif
- nargile | Kelime / ifade | Risk 4 | Aktif
- nargile ifadesi | Kelime / ifade | Risk 4 | Aktif
- nargile sahnesi | Kelime / ifade | Risk 4 | Aktif
- nargilesi | Kelime / ifade | Risk 4 | Aktif
- poker | Kelime / ifade | Risk 4 | Aktif
- poker ifadesi | Kelime / ifade | Risk 4 | Aktif
- poker sahnesi | Kelime / ifade | Risk 4 | Aktif
- pokerde | Kelime / ifade | Risk 4 | Aktif
- rakı | Kelime / ifade | Risk 4 | Aktif
- rakı ifadesi | Kelime / ifade | Risk 4 | Aktif
- rakı sahnesi | Kelime / ifade | Risk 4 | Aktif
- rakısı | Kelime / ifade | Risk 4 | Aktif
- rakıya | Kelime / ifade | Risk 4 | Aktif
- rulet | Kelime / ifade | Risk 4 | Aktif
- rulet ifadesi | Kelime / ifade | Risk 4 | Aktif
- rulet sahnesi | Kelime / ifade | Risk 4 | Aktif
- ruleti | Kelime / ifade | Risk 4 | Aktif
- sarhoş | Kelime / ifade | Risk 4 | Aktif
- sarhoş ifadesi | Kelime / ifade | Risk 4 | Aktif
- sarhoş sahnesi | Kelime / ifade | Risk 4 | Aktif
- sarhoşlar | Kelime / ifade | Risk 4 | Aktif
- sarhoşluk | Kelime / ifade | Risk 4 | Aktif
- sarhoşu | Kelime / ifade | Risk 4 | Aktif
- sigara | Kelime / ifade | Risk 4 | Aktif
- sigaraları | Kelime / ifade | Risk 4 | Aktif
- sigarası | Kelime / ifade | Risk 4 | Aktif
- sigarası anlatımı | Kelime / ifade | Risk 4 | Aktif
- sigarası göndermesi | Kelime / ifade | Risk 4 | Aktif
- sigarası ifadesi | Kelime / ifade | Risk 4 | Aktif
- sigarası sahnesi | Kelime / ifade | Risk 4 | Aktif
- sigarası vurgusu | Kelime / ifade | Risk 4 | Aktif
- sigarasını | Kelime / ifade | Risk 4 | Aktif
- sigarayı | Kelime / ifade | Risk 4 | Aktif
- şaraba | Kelime / ifade | Risk 4 | Aktif
- şarabı | Kelime / ifade | Risk 4 | Aktif
- şarabın | Kelime / ifade | Risk 4 | Aktif
- şarap | Kelime / ifade | Risk 4 | Aktif
- şarap ifadesi | Kelime / ifade | Risk 4 | Aktif
- şarap sahnesi | Kelime / ifade | Risk 4 | Aktif
- tiryakı ifadesi | Kelime / ifade | Risk 4 | Aktif
- tiryakı sahnesi | Kelime / ifade | Risk 4 | Aktif
- tiryaki | Kelime / ifade | Risk 4 | Aktif
- tiryakilik | Kelime / ifade | Risk 4 | Aktif
- tütün | Kelime / ifade | Risk 4 | Aktif
- tütün anlatımı | Kelime / ifade | Risk 4 | Aktif
- tütün göndermesi | Kelime / ifade | Risk 4 | Aktif
- tütün ifadesi | Kelime / ifade | Risk 4 | Aktif
- tütün sahnesi | Kelime / ifade | Risk 4 | Aktif
- tütün vurgusu | Kelime / ifade | Risk 4 | Aktif
- tütüne | Kelime / ifade | Risk 4 | Aktif
- tütünle | Kelime / ifade | Risk 4 | Aktif
- tütünler | Kelime / ifade | Risk 4 | Aktif
- tütünü | Kelime / ifade | Risk 4 | Aktif
- tütünün | Kelime / ifade | Risk 4 | Aktif
- uyuşturucu | Kelime / ifade | Risk 4 | Aktif
- uyuşturucu anlatımı | Kelime / ifade | Risk 4 | Aktif
- uyuşturucu göndermesi | Kelime / ifade | Risk 4 | Aktif
- uyuşturucu ifadesi | Kelime / ifade | Risk 4 | Aktif
- uyuşturucu maddesi | Kelime / ifade | Risk 4 | Aktif
- uyuşturucu sahnesi | Kelime / ifade | Risk 4 | Aktif
- uyuşturucudan | Kelime / ifade | Risk 4 | Aktif
- uyuşturucusu | Kelime / ifade | Risk 4 | Aktif
- uyuşturucuyu | Kelime / ifade | Risk 4 | Aktif
- vape | Kelime / ifade | Risk 4 | Aktif
- vape ifadesi | Kelime / ifade | Risk 4 | Aktif
- vape sahnesi | Kelime / ifade | Risk 4 | Aktif
- vapeyi | Kelime / ifade | Risk 4 | Aktif
- viski | Kelime / ifade | Risk 4 | Aktif
- viski ifadesi | Kelime / ifade | Risk 4 | Aktif
- viski sahnesi | Kelime / ifade | Risk 4 | Aktif
- viskisi | Kelime / ifade | Risk 4 | Aktif
- viskiye | Kelime / ifade | Risk 4 | Aktif
